key,priority,filename
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/VectorMapJoinOuterStringOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/reducesink/VectorReduceSinkCommonOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/reducesink/VectorReduceSinkLongOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/reducesink/VectorReduceSinkMultiKeyOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/reducesink/VectorReduceSinkStringOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/hooks/ATSHook.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/io/merge/MergeFileTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/io/rcfile/stats/PartialScanTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/io/rcfile/truncate/ColumnTruncateTask.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/AbstractSMBJoinProc.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/ConvertJoinMapJoin.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/DynamicPartitionPruningOptimization.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMRTableScan1.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMapRedUtils.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/GroupByOptimizer.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/MapJoinProcessor.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/ReduceSinkMapJoinProc.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/SimpleFetchAggregation.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/SimpleFetchOptimizer.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/SkewJoinOptimizer.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/HiveGBOpConvUtil.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/HiveOpConverter.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/correlation/QueryPlanTreeTransformation.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/CommonJoinTaskDispatcher.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/GenMRSkewJoinProcessor.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/GenSparkSkewJoinProcessor.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/LocalMapJoinProcFactory.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/spark/SparkReduceSinkMapJoinProc.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/unionproc/UnionProcFactory.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/BaseSemanticAnalyzer.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/ExplainSemanticAnalyzer.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/GenTezWork.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/ProcessAnalyzeTable.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/spark/GenSparkWork.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/spark/SparkPartitionPruningSinkOperator.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/parse/spark/SparkProcessAnalyzeTable.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/plan/BaseWork.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/plan/ColumnStatsWork.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/plan/FetchWork.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/plan/MapWork.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/plan/MapredWork.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/plan/MergeJoinWork.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/plan/ReduceWork.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/plan/UnionWork.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/ppd/OpProcFactory.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/ppd/PredicateTransitivePropagate.java
HIVE-12758,Major,ql/src/java/org/apache/hadoop/hive/ql/ppd/SyntheticJoinPredicate.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/exec/TestExecDriver.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/exec/TestFileSinkOperator.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/exec/TestOperators.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/exec/TestPlan.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/TestVectorFilterOperator.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/TestVectorGroupByOperator.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/TestVectorLimitOperator.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/TestVectorSelectOperator.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/util/FakeCaptureOutputOperator.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/exec/vector/util/FakeVectorDataSourceOperator.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/optimizer/physical/TestVectorizer.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/parse/TestGenTezWork.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/parse/TestUpdateDeleteSemanticAnalyzer.java
HIVE-12758,Major,ql/src/test/org/apache/hadoop/hive/ql/testutil/BaseScalarUdfTest.java
HIVE-12758,Major,ql/src/test/results/clientpositive/auto_join0.q.out
HIVE-12758,Major,ql/src/test/results/clientpositive/cbo_rp_cross_product_check_2.q.out
HIVE-12758,Major,ql/src/test/results/clientpositive/cross_product_check_2.q.out
HIVE-12758,Major,ql/src/test/results/clientpositive/subquery_multiinsert.q.java1.7.out
HIVE-12758,Major,ql/src/test/results/clientpositive/subquery_multiinsert.q.java1.8.out
HIVE-12826,Major,ql/src/gen/vectorization/UDAFTemplates/VectorUDAFAvg.txt
HIVE-12826,Major,ql/src/gen/vectorization/UDAFTemplates/VectorUDAFMinMax.txt
HIVE-12826,Major,ql/src/gen/vectorization/UDAFTemplates/VectorUDAFMinMaxDecimal.txt
HIVE-12826,Major,ql/src/gen/vectorization/UDAFTemplates/VectorUDAFSum.txt
HIVE-12826,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/aggregates/VectorUDAFAvgDecimal.java
HIVE-12826,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/aggregates/VectorUDAFCountMerge.java
HIVE-12826,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/aggregates/VectorUDAFSumDecimal.java
HIVE-12724,Blocker,ql/src/java/org/apache/hadoop/hive/ql/io/AcidUtils.java
HIVE-12724,Blocker,ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java
HIVE-12815,Major,ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java
HIVE-12815,Major,ql/src/test/queries/clientpositive/annotate_stats_table.q
HIVE-12815,Major,ql/src/test/results/clientpositive/annotate_stats_table.q.out
HIVE-12687,Major,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java
HIVE-12687,Major,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/LlapDaemon.java
HIVE-12824,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/PlanModifierForASTConv.java
HIVE-12824,Major,ql/src/test/queries/clientpositive/windowing_gby.q
HIVE-12824,Major,ql/src/test/results/clientpositive/groupby_resolution.q.out
HIVE-12824,Major,ql/src/test/results/clientpositive/quotedid_basic.q.out
HIVE-12824,Major,ql/src/test/results/clientpositive/spark/groupby_resolution.q.out
HIVE-12824,Major,ql/src/test/results/clientpositive/tez/windowing_gby.q.out
HIVE-12768,Blocker,serde/src/java/org/apache/hadoop/hive/serde2/binarysortable/BinarySortableSerDe.java
HIVE-12590,Critical,ql/src/java/org/apache/hadoop/hive/ql/parse/ASTNode.java
HIVE-12590,Critical,ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java
HIVE-12590,Critical,ql/src/java/org/apache/hadoop/hive/ql/parse/RowResolver.java
HIVE-12590,Critical,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-12590,Critical,ql/src/java/org/apache/hadoop/hive/ql/parse/TypeCheckProcFactory.java
HIVE-12590,Critical,ql/src/test/org/apache/hadoop/hive/ql/parse/TestIUD.java
HIVE-12590,Critical,ql/src/test/org/apache/hadoop/hive/ql/parse/TestQBSubQuery.java
HIVE-12590,Critical,ql/src/test/org/apache/hadoop/hive/ql/parse/TestSQL11ReservedKeyWordsPositive.java
HIVE-12590,Critical,ql/src/test/org/apache/hadoop/hive/ql/parse/positive/TestTransactionStatement.java
HIVE-12590,Critical,ql/src/test/queries/clientpositive/groupby_duplicate_key.q
HIVE-12590,Critical,ql/src/test/results/clientnegative/join_cond_unqual_ambiguous_vc.q.out
HIVE-12590,Critical,ql/src/test/results/clientpositive/case_sensitivity.q.out
HIVE-12590,Critical,ql/src/test/results/clientpositive/constant_prop.q.out
HIVE-12590,Critical,ql/src/test/results/clientpositive/groupby_duplicate_key.q.out
HIVE-12800,Major,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveFilterSetOpTransposeRule.java
HIVE-12786,Major,ql/src/test/results/clientnegative/insert_into_with_schema.q.out
HIVE-12786,Major,ql/src/test/results/clientnegative/insert_into_with_schema1.q.out
HIVE-12786,Major,ql/src/test/results/clientnegative/insert_into_with_schema2.q.out
HIVE-12786,Major,ql/src/test/results/clientnegative/ptf_negative_InvalidValueBoundary.q.out
HIVE-12762,Major,ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
HIVE-12762,Major,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ProjectionPusher.java
HIVE-12762,Major,ql/src/test/queries/clientpositive/parquet_join2.q
